technique_id,type,item_id,item_name,item_description
TFA-T-1006,detection,TFA-D-1020,In-Home Activity Knowledge,Adversary references conversations or activities that occurred inside the home.
TFA-T-1006,detection,TFA-D-1021,Device Behaviour Anomalies,"Cameras activating, indicator lights engaging, or voice assistants responding without user trigger."
TFA-T-1006,detection,TFA-D-1022,Unauthorised Device Access,Smart home app settings show adversary account retains admin or viewer access.
TFA-T-1007,mitigation,TFA-M-1024,Router Credential Reset,Change router admin credentials. Factory reset router if adversary configured it.
TFA-T-1007,mitigation,TFA-M-1025,Traffic Encryption,Use VPN to encrypt internet traffic and prevent network-level monitoring.
TFA-T-1007,mitigation,TFA-M-1026,Network Bypass,Use mobile data instead of home network for sensitive browsing.
TFA-T-1007,detection,TFA-D-1023,Browsing Activity Knowledge,Adversary references websites visited or searches performed.
TFA-T-1007,detection,TFA-D-1024,Unauthorised Network Controls,"Router contains parental controls, content filtering, or logging not configured by target."
TFA-T-1007,detection,TFA-D-1025,Network Monitoring Tools Present,Discovery of network monitoring software or devices on home network.
TFA-T-1008,mitigation,TFA-M-1027,Calendar Sharing Audit,Review and remove unauthorised calendar sharing permissions across all calendar applications.
TFA-T-1008,mitigation,TFA-M-1028,Sensitive Appointment Isolation,Use separate calendar on adversary-unknown account for sensitive appointments.
TFA-T-1008,mitigation,TFA-M-1029,Medical Portal Security,Change credentials on health portals. Remove adversary as authorised contact.
TFA-T-1008,detection,TFA-D-1026,Appointment Interception,Adversary appears at calendar events they should not know about.
TFA-T-1008,detection,TFA-D-1027,Schedule Knowledge Indicators,Adversary references upcoming appointments before disclosure.
TFA-T-1008,detection,TFA-D-1028,Active Calendar Sharing,Audit reveals adversary retains calendar viewing access.
TFA-T-1009,mitigation,TFA-M-1030,Information Compartmentalisation,Limit sensitive information shared with contacts who maintain relationship with adversary.
TFA-T-1009,mitigation,TFA-M-1031,Network Trust Assessment,Identify which contacts may relay information to adversary based on information leakage patterns.
TFA-T-1009,mitigation,TFA-M-1032,Canary Information Testing,Share unique details with specific contacts to identify information relay sources.
TFA-T-1009,detection,TFA-D-1029,Source-Specific Information Leakage,Adversary gains knowledge of information shared only with specific individuals.
TFA-T-1009,detection,TFA-D-1030,Unusual Contact Questioning,"Contacts ask unusually specific questions about location, plans, or relationships."
TFA-T-1009,detection,TFA-D-1031,Recruitment Attempt Reports,Trusted contacts report adversary has requested information about target.
TFA-T-1010,mitigation,TFA-M-1033,Health Account Separation,Unlink health and fitness accounts from shared or adversary-known accounts. Create new accounts with private credentials.
TFA-T-1010,mitigation,TFA-M-1034,Fitness App Privacy Settings,"Disable public profiles, activity sharing, and social features on fitness platforms."
TFA-T-1010,mitigation,TFA-M-1035,Wearable Device Reset,Factory reset wearable devices and configure with sole-controlled account.
TFA-T-1010,detection,TFA-D-1032,Health Data Knowledge,"Adversary references exercise patterns, sleep data, health metrics, or location data from fitness tracking."
TFA-T-1010,detection,TFA-D-1033,Active Health Data Sharing,Audit reveals fitness or health apps sharing data with adversary's account.
TFA-T-1010,detection,TFA-D-1034,Wearable Account Linkage,Fitness tracker connected to adversary-controlled account.
TFA-T-2001,mitigation,TFA-M-2001,Password Manager Deployment,Use password manager with strong master password. Generate unique passwords for all accounts.
TFA-T-2001,mitigation,TFA-M-2002,Multi-Factor Authentication,Enable MFA on all accounts using authenticator app on secure device.
TFA-T-2001,mitigation,TFA-M-2003,Credential Entry Security,Use privacy screens. Avoid password entry where adversary can observe.
TFA-T-2001,mitigation,TFA-M-2004,Post-Separation Credential Reset,"Change all passwords after separation, starting with email accounts."
TFA-T-2001,detection,TFA-D-2001,Unauthorised Access Alerts,Login notifications from unrecognised devices or locations.
TFA-T-2001,detection,TFA-D-2002,Account Lockout Events,Unable to access accounts with previously valid credentials.
TFA-T-2001,detection,TFA-D-2003,Account Content Knowledge,Adversary demonstrates knowledge of account-specific content.
TFA-T-2002,mitigation,TFA-M-2005,Account Documentation,"Document all account details including usernames, associated contacts, and creation dates for recovery purposes."
TFA-T-2002,mitigation,TFA-M-2006,Recovery Contact Security,Change recovery email and phone to adversary-unknown contacts.
TFA-T-2002,mitigation,TFA-M-2007,Platform Recovery Engagement,Contact platform support for account recovery. Many platforms have DFV-specific recovery processes.
TFA-T-2002,detection,TFA-D-2004,Complete Account Lockout,Unable to access accounts. Password reset attempts fail or redirect to unknown contacts.
TFA-T-2002,detection,TFA-D-2005,Unauthorised Profile Changes,Contacts report changes to profile content not made by account owner.
TFA-T-2002,detection,TFA-D-2006,Recovery Option Modification,Account recovery reveals changed backup contacts or security questions.
TFA-T-2003,mitigation,TFA-M-2008,Multiple Recovery Methods,Configure multiple recovery options so compromise of one does not eliminate account access.
TFA-T-2003,mitigation,TFA-M-2009,Security Question Hardening,Use fictitious answers to security questions that adversary cannot guess from personal knowledge.
TFA-T-2003,mitigation,TFA-M-2010,Recovery Email Security,Secure recovery email account with strong unique credentials and MFA.
TFA-T-2003,detection,TFA-D-2007,Unrequested Password Change Notifications,Receiving confirmation of password or security changes not initiated by account owner.
TFA-T-2003,detection,TFA-D-2008,Recovery Method Change Alerts,"Notifications of backup email, phone, or security question changes."
TFA-T-2004,mitigation,TFA-M-2011,Active Session Monitoring,Regularly review active sessions on all accounts. Terminate unrecognised sessions.
TFA-T-2004,mitigation,TFA-M-2012,Session Termination,Use 'sign out all sessions' feature after credential changes.
TFA-T-2004,detection,TFA-D-2009,Unknown Active Sessions,Session review shows sign-ins from unrecognised devices or locations.
TFA-T-2004,detection,TFA-D-2010,Unauthorised Account Activity,Settings changed or content accessed without user action. Review platform activity logs.
TFA-T-2005,mitigation,TFA-M-2013,Remote Management Removal,Remove device from adversary's Find My/Find My Device account.
TFA-T-2005,mitigation,TFA-M-2014,Account Migration,Migrate device to sole-controlled Apple ID or Google account. Factory reset if required.
TFA-T-2005,detection,TFA-D-2011,Remote Lock Activation,Device displays lock screen or lost mode message without user action.
TFA-T-2005,detection,TFA-D-2012,Remote Wipe Execution,Device factory resets without user initiation.
TFA-T-2006,mitigation,TFA-M-2015,Authenticator App Security,Use authenticator app on secure device rather than SMS-based 2FA.
TFA-T-2006,mitigation,TFA-M-2016,SIM Security Controls,Contact carrier to add SIM lock PIN and port-out protection.
TFA-T-2006,mitigation,TFA-M-2017,Hardware Security Key,Use hardware security key for highest-risk accounts.
TFA-T-2006,detection,TFA-D-2013,SIM Swap Indicators,Sudden loss of mobile service may indicate SIM swap attack.
TFA-T-2006,detection,TFA-D-2014,Unrequested 2FA Codes,Receiving 2FA codes without initiating login attempts.
TFA-T-2007,mitigation,TFA-M-2018,Cloud Account Security,Change passwords and enable MFA on cloud storage. Review and remove sharing permissions.
TFA-T-2007,mitigation,TFA-M-2019,Backup Encryption,Enable encrypted backups where available.
TFA-T-2007,detection,TFA-D-2015,Cloud Access Alerts,Sign-in alerts for cloud services from unfamiliar devices or locations.
TFA-T-2007,detection,TFA-D-2016,Cloud Content Knowledge,Adversary demonstrates knowledge of cloud-only content.
TFA-T-2008,mitigation,TFA-M-2020,Shared Account Separation,"Systematically separate shared accounts for streaming, utilities, and subscriptions."
TFA-T-2008,mitigation,TFA-M-2021,Shared Account Documentation,Document all shared account details before separation.
TFA-T-2008,detection,TFA-D-2017,Shared Service Disruption,"Shared services cancelled, passwords changed, or access revoked without discussion."
TFA-T-2008,detection,TFA-D-2018,Weaponized Account Activity,Adversary uses shared account access to monitor activity or make changes as control mechanism.
TFA-T-2009,mitigation,TFA-M-2022,Data Backup Protocol,Maintain regular backups to adversary-inaccessible storage.
TFA-T-2009,mitigation,TFA-M-2023,Physical Device Security,Maintain physical control of devices. Store evidence in secure cloud storage.
TFA-T-2009,detection,TFA-D-2019,Unexplained Data Loss,"Files, photos, or messages disappearing without user action."
TFA-T-2009,detection,TFA-D-2020,Device Damage or Reset,Devices physically damaged or factory reset during adversary access periods.
TFA-T-2010,mitigation,TFA-M-2024,Administrative Control Removal,Remove parental control software and MDM profiles. Factory reset if removal not possible.
TFA-T-2010,mitigation,TFA-M-2025,Family Group Exit,Leave family sharing groups that grant adversary administrative control.
TFA-T-2010,detection,TFA-D-2021,Unexpected Device Restrictions,"Apps blocked, websites inaccessible, or features limited by parental controls not installed by user."
TFA-T-2010,detection,TFA-D-2022,Usage Reports to Adversary,Screen Time or similar tools sending activity reports to adversary's account.
TFA-T-3001,mitigation,TFA-M-3001,Evidence Preservation,Screenshot and save all threatening messages with timestamps and sender details.
TFA-T-3001,mitigation,TFA-M-3002,Platform and Law Enforcement Reporting,Report threats to platform and police. Preserve evidence for legal proceedings.
TFA-T-3001,mitigation,TFA-M-3003,Communication Boundary Enforcement,Establish communication boundaries. Block on platforms where no legitimate contact required.
TFA-T-3001,detection,TFA-D-3001,Threatening Content Receipt,Messages containing explicit or implicit threats of harm or adverse consequences.
TFA-T-3001,detection,TFA-D-3002,Escalation Pattern,Message tone becoming increasingly aggressive or menacing over time.
TFA-T-3002,mitigation,TFA-M-3004,Contact Documentation,"Maintain log of all unwanted contact with dates, times, platforms, and content."
TFA-T-3002,mitigation,TFA-M-3005,Block and Filter Strategy,Block adversary on all platforms. Configure email filters to archive messages for evidence.
TFA-T-3002,mitigation,TFA-M-3006,Carrier Harassment Report,Contact phone carrier to report harassment and implement call blocking.
TFA-T-3002,detection,TFA-D-3003,High Volume Contact,Unreasonable number of contact attempts across channels.
TFA-T-3002,detection,TFA-D-3004,Multi-Platform Contact Pattern,Simultaneous contact attempts across multiple platforms.
TFA-T-3003,mitigation,TFA-M-3007,Multi-Platform Block Maintenance,Maintain blocks across platforms. Enable unknown sender filtering.
TFA-T-3003,mitigation,TFA-M-3008,Ban Evasion Reporting,Report new accounts to platforms for ban evasion.
TFA-T-3003,detection,TFA-D-3005,New Accounts with Adversary Indicators,New accounts using familiar language patterns or referencing personal details.
TFA-T-3003,detection,TFA-D-3006,Alternative Channel Contact,Contact via channels not previously used after blocking on primary platforms.
TFA-T-3004,mitigation,TFA-M-3009,Mass Block and Report,Block and report all participating accounts. Report coordinated harassment pattern to platform.
TFA-T-3004,mitigation,TFA-M-3010,Temporary Account Restriction,Temporarily restrict account access and disable comments during active campaign.
TFA-T-3004,mitigation,TFA-M-3011,Regulatory Body Report,Report serious coordinated harassment to eSafety Commissioner or equivalent body.
TFA-T-3004,detection,TFA-D-3007,Hostile Interaction Spike,Rapid increase in negative interactions from multiple accounts.
TFA-T-3004,detection,TFA-D-3008,Coordination Indicators,"Multiple accounts using similar language, talking points, or hashtags."
TFA-T-3005,mitigation,TFA-M-3012,Personal Information Minimisation,Audit and remove personal information from public sources. Opt out of data broker sites.
TFA-T-3005,mitigation,TFA-M-3013,Address and Contact Protection,Use PO Box for mail. Register domains with privacy protection.
TFA-T-3005,mitigation,TFA-M-3014,Doxxing Response Protocol,"If doxxed: report to police, request content removal, alert workplace, document everything."
TFA-T-3005,detection,TFA-D-3009,Personal Information Published,Private information appears on public platforms.
TFA-T-3005,detection,TFA-D-3010,Stranger Harassment Based on Published Details,Contact from unknown individuals referencing doxxed information.
TFA-T-3006,mitigation,TFA-M-3015,Law Enforcement Notification,Notify local police of false report risk. Request address flagging in dispatch system.
TFA-T-3006,mitigation,TFA-M-3016,Emergency Response Preparation,Prepare for calm interaction with emergency services. Brief household members.
TFA-T-3006,detection,TFA-D-3011,Unexpected Emergency Response,Emergency services arrive in response to unrequested call.
TFA-T-3006,detection,TFA-D-3012,False Report Pattern,Multiple false reports correlating with relationship events.
TFA-T-3007,mitigation,TFA-M-3017,Content Backup,Regularly backup social media content using platform export tools.
TFA-T-3007,mitigation,TFA-M-3018,Appeal Process Utilisation,Appeal account restrictions with context about weaponised reporting pattern.
TFA-T-3007,detection,TFA-D-3013,Unjustified Account Restrictions,Content removed or account restricted for non-violating posts during conflict periods.
TFA-T-3007,detection,TFA-D-3014,Multiple Report Indicators,Platform communications indicating multiple reports against account.
TFA-T-3008,mitigation,TFA-M-3019,Content Removal Request,Report humiliating content to platform. Report to regulatory body for serious content.
TFA-T-3008,mitigation,TFA-M-3020,Search Result Management,Request deindexing of harmful content. Create positive content to influence search results.
TFA-T-3008,detection,TFA-D-3015,Harmful Content Discovery,Posts containing embarrassing or private content about target.
TFA-T-3008,detection,TFA-D-3016,Third-Party Content Alerts,Contacts report encountering harmful content online.
TFA-T-3009,mitigation,TFA-M-3021,Impersonation Reporting,Report fake accounts to platform using impersonation reporting process.
TFA-T-3009,mitigation,TFA-M-3022,Network Notification,Inform contacts of fake accounts and request verification through trusted channels.
TFA-T-3009,detection,TFA-D-3017,Contact Reports of Impersonation Messages,Contacts report receiving messages from accounts impersonating target.
TFA-T-3009,detection,TFA-D-3018,Fake Account Discovery,"Profiles using target's name, photos, or information discovered."
TFA-T-3010,mitigation,TFA-M-3023,False Review Dispute,Flag false reviews for removal. Provide evidence of fraudulent origin.
TFA-T-3010,mitigation,TFA-M-3024,Review Response Strategy,Respond professionally to false reviews. Request genuine client reviews to counterbalance.
TFA-T-3010,detection,TFA-D-3019,Fraudulent Review Pattern,Negative reviews from non-genuine accounts correlating with conflict events.
TFA-T-3010,detection,TFA-D-3020,Professional Impact,Decline in business correlating with review attack.
TFA-T-3011,mitigation,TFA-M-3025,Email Filtering,Configure email filtering to manage volume. Unsubscribe from spam subscriptions.
TFA-T-3011,mitigation,TFA-M-3026,Communication Channel Protection,Consider temporary contact change while maintaining bombarded accounts for evidence.
TFA-T-3011,detection,TFA-D-3021,Spam Volume Spike,"Dramatic increase in spam, subscriptions, or marketing messages."
TFA-T-3011,detection,TFA-D-3022,Unrequested Sign-Up Confirmations,Confirmation emails from services never subscribed to.
TFA-T-3012,mitigation,TFA-M-3027,AI Content Detection,Use AI detection tools to identify synthetic content for evidence purposes.
TFA-T-3012,mitigation,TFA-M-3028,Platform-Level Reporting,Report automated abuse patterns to platforms rather than responding to individual items.
TFA-T-3012,detection,TFA-D-3023,Synthetic Language Patterns,"Messages that are formulaic, vary slightly while making same points, or arrive at unrealistic volumes."
TFA-T-3012,detection,TFA-D-3024,AI-Generated Media Indicators,Media with artifacts characteristic of synthetic generation.
TFA-T-4001,mitigation,TFA-M-4001,Original Record Preservation,Preserve original communications using platform export tools with metadata.
TFA-T-4001,mitigation,TFA-M-4002,Metadata Verification,Use platform records with headers and metadata rather than screenshots for evidence.
TFA-T-4001,mitigation,TFA-M-4003,Witness Communication,Include trusted witness in important communications for corroboration.
TFA-T-4001,detection,TFA-D-4001,Evidence Discrepancies,Adversary-presented records don't match target's records of same communication.
TFA-T-4001,detection,TFA-D-4002,Message Alteration,Messages deleted or content changed from what target recalls.
TFA-T-4002,mitigation,TFA-M-4004,Digital State Documentation,Screenshot settings and configurations to establish baseline. Log device states to detect changes.
TFA-T-4002,mitigation,TFA-M-4005,External Verification,Verify noticed changes with trusted person before doubting own perception.
TFA-T-4002,mitigation,TFA-M-4006,Version History Monitoring,Enable and check version history on shared documents to detect manipulation.
TFA-T-4002,detection,TFA-D-4003,Unexplained Setting Changes,Device settings or file locations changed without user action. Check modification timestamps.
TFA-T-4002,detection,TFA-D-4004,Reality Questioning Pattern,Increasing self-doubt about digital actions aligning with adversary's claims.
TFA-T-4003,mitigation,TFA-M-4007,Regulatory Body Report,Report NCII to eSafety Commissioner or equivalent body with legal content removal powers.
TFA-T-4003,mitigation,TFA-M-4008,Hash-Based Prevention Registration,Register images with StopNCII.org to prevent re-upload on participating platforms.
TFA-T-4003,mitigation,TFA-M-4009,Law Enforcement Report,Report to police. NCII is criminal offence in most jurisdictions.
TFA-T-4003,detection,TFA-D-4005,Intimate Image Distribution Discovery,Intimate images found on public platforms or reported by contacts.
TFA-T-4003,detection,TFA-D-4006,Distribution Threats,Adversary threatens to share intimate images as leverage.
TFA-T-4004,mitigation,TFA-M-4010,Synthetic Content Reporting,Report deepfake intimate content to regulatory body and police. Deepfakes treated equivalently to real NCII.
TFA-T-4004,mitigation,TFA-M-4011,Source Image Restriction,Restrict access to facial photos on social media to limit deepfake source material.
TFA-T-4004,detection,TFA-D-4007,Synthetic Content Discovery,Intimate content surfaces that depicts events that never occurred. May show AI artifacts on close inspection.
TFA-T-4004,detection,TFA-D-4008,Fabricated Content Threats,Adversary threatens distribution of content depicting situations that never happened.
TFA-T-4005,mitigation,TFA-M-4012,Counter-Narrative Development,Develop response strategy with support services. Share truth selectively with key contacts.
TFA-T-4005,mitigation,TFA-M-4013,False Claim Documentation,Document each false claim with evidence contradicting it for legal proceedings.
TFA-T-4005,detection,TFA-D-4009,Unexplained Relationship Changes,Contacts becoming distant without clear reason based on adversary communications.
TFA-T-4005,detection,TFA-D-4010,False Information Reports,Trusted individuals report false information being shared by adversary.
TFA-T-4006,mitigation,TFA-M-4014,Full Context Preservation,Preserve complete communication threads and surrounding context.
TFA-T-4006,mitigation,TFA-M-4015,Written Communication Preference,Conduct important discussions in writing on platforms maintaining complete records.
TFA-T-4006,detection,TFA-D-4011,Decontextualised Content Sharing,Adversary shares real but misleading content stripped of surrounding context.
TFA-T-4006,detection,TFA-D-4012,Partial Truth Accusations,Third parties confront target about statements that are technically real but misleading without context.
TFA-T-4007,mitigation,TFA-M-4016,Non-Compliance,Do not comply with demands. Compliance typically leads to escalating demands.
TFA-T-4007,mitigation,TFA-M-4017,Specialist Support Engagement,Contact regulatory body and law enforcement sextortion support resources.
TFA-T-4007,detection,TFA-D-4013,Extortion Demands,Messages demanding money or compliance in exchange for not distributing intimate content.
TFA-T-4007,detection,TFA-D-4014,Demand Escalation,Increased demands following initial compliance.
TFA-T-4008,mitigation,TFA-M-4018,Identity Verification,Verify online relationship identity through video calls and reverse image search before trust development.
TFA-T-4008,mitigation,TFA-M-4019,Financial Boundary Enforcement,Never send money or financial information to online-only contacts.
TFA-T-4008,detection,TFA-D-4015,Verification Avoidance,Person consistently avoids video calls or in-person meetings. Photos may belong to someone else.
TFA-T-4008,detection,TFA-D-4016,Financial Request Escalation,Increasingly urgent requests for financial assistance with compelling stories.
TFA-T-4009,mitigation,TFA-M-4020,Search Result Monitoring,Set up alerts for own name. Regular self-search to identify harmful content early.
TFA-T-4009,mitigation,TFA-M-4021,Positive Content Creation,Create professional content under own name to influence search results.
TFA-T-4009,mitigation,TFA-M-4022,Legal Content Removal,Seek legal advice about defamation action or court-ordered content removal.
TFA-T-4009,detection,TFA-D-4017,Harmful Search Results,Name search reveals websites containing false or harmful content designed to rank highly.
TFA-T-4009,detection,TFA-D-4018,Malicious Domain Registrations,Websites registered using target's name containing harmful content.
TFA-T-4010,mitigation,TFA-M-4023,Historical Content Cleanup,Review and restrict visibility of old content that could be weaponised.
TFA-T-4010,mitigation,TFA-M-4024,Context Preparation,Prepare contextual explanations for known historical content with support team.
TFA-T-4010,detection,TFA-D-4019,Old Content Resurfacing,Historical content shared in new contexts timed to important events.
TFA-T-4010,detection,TFA-D-4020,Content Archiving Activity,Evidence adversary systematically archiving target's historical content.
TFA-T-4011,mitigation,TFA-M-4025,Digital Forensic Engagement,Engage forensic specialist to analyse suspected fabricated evidence and provide expert testimony.
TFA-T-4011,mitigation,TFA-M-4026,Platform Record Requests,Request official platform records for critical communications. Harder to fabricate than screenshots.
TFA-T-4011,detection,TFA-D-4021,Evidence Inconsistent with Records,Presented evidence doesn't match target's records or memory of events.
TFA-T-4011,detection,TFA-D-4022,Metadata Inconsistencies,"Digital evidence contains impossible timestamps, missing metadata, or editing artifacts."
TFA-T-5001,mitigation,TFA-M-5001,Secure Communication Channel,Use separate secure device for sensitive communications with support services.
TFA-T-5001,mitigation,TFA-M-5002,Message Verification,Verify directly with contacts if relationships deteriorate unexpectedly.
TFA-T-5001,detection,TFA-D-5001,Unauthorised Message Sending,Contacts report receiving messages from target's accounts not sent by target.
TFA-T-5001,detection,TFA-D-5002,Unexplained Relationship Deterioration,Support relationships deteriorate without clear cause.
TFA-T-5002,mitigation,TFA-M-5003,Contact and Filter Audit,Periodically check blocked contacts and email filter rules for unauthorised changes.
TFA-T-5002,mitigation,TFA-M-5004,Alternative Contact Methods,Maintain backup contact methods for key support people.
TFA-T-5002,detection,TFA-D-5003,Missing Inbound Communications,Contacts report sending messages that were never received.
TFA-T-5002,detection,TFA-D-5004,Unauthorised Blocked Contacts,Contacts on blocked list that user did not block.
TFA-T-5003,mitigation,TFA-M-5005,Autonomy Assertion,Recognise demands to control social media connections as controlling behaviour. Document demands.
TFA-T-5003,mitigation,TFA-M-5006,Private Secondary Account,Maintain separate private account for support connections if needed.
TFA-T-5003,detection,TFA-D-5005,Connection Control Demands,"Demands to unfriend specific people, restrict posting, or delete accounts."
TFA-T-5003,detection,TFA-D-5006,Connection Monitoring,Adversary comments on or confronts about social media connections and interactions.
TFA-T-5004,mitigation,TFA-M-5007,Parental Control Removal,Remove parental controls from adult devices. Factory reset if removal not possible.
TFA-T-5004,mitigation,TFA-M-5008,Secondary Device Access,Maintain access to secondary device adversary cannot control.
TFA-T-5004,detection,TFA-D-5007,External Device Restrictions,"Device has time limits, app restrictions, or content filters not configured by user."
TFA-T-5004,detection,TFA-D-5008,Resource Access Blocking,"Support websites, apps, or communication tools blocked at device or network level."
TFA-T-5005,mitigation,TFA-M-5009,Support Network Communication,Proactively inform key contacts about adversary's potential false information campaign.
TFA-T-5005,mitigation,TFA-M-5010,Professional Support Briefing,"Ensure professionals (therapist, lawyer, caseworker) are aware adversary may contact them."
TFA-T-5005,detection,TFA-D-5009,Contact Attitude Changes,Contacts suddenly withdrawing support or becoming hostile based on adversary communications.
TFA-T-5005,detection,TFA-D-5010,Adversary Contact Reports,Support people report adversary has contacted them.
TFA-T-5006,mitigation,TFA-M-5011,Ban Appeal with Context,Appeal bans with context about coordinated reporting campaign.
TFA-T-5006,mitigation,TFA-M-5012,Support Network Diversification,Maintain connections across multiple platforms and in-person support.
TFA-T-5006,detection,TFA-D-5011,Unexplained Community Removal,Banned from communities without clear policy violation.
TFA-T-5006,detection,TFA-D-5012,Coordinated Reporting Evidence,Community administrators report multiple reports received in short timeframe.
TFA-T-5007,mitigation,TFA-M-5013,Monitoring Assumption Planning,Use separate safe device for sensitive communications if monitoring disclosed.
TFA-T-5007,mitigation,TFA-M-5014,Monitoring Capability Verification,Have professional assess actual monitoring capability to calibrate response.
TFA-T-5007,detection,TFA-D-5013,Explicit Monitoring Claims,"Adversary states they can monitor communications, either as threat or demonstrated through knowledge."
