id,name,public_actions,mitigations,public_notices,detections,gaps,mit_names,pub_action_samples,det_names,pub_notice_samples
SAFE-T-0082,Credential Theft,4,5,3,3,OK,Password Manager Deployment | Multi-Factor Authentication | Credential Entry Security | Post-Separation Credential Reset | Credential Breach Monitoring,"Change passwords from a device the other person hasn't accessed | Use unique, strong passwords for every account | Enable two-factor authentication | Check if your accounts have appeared in known data breaches",Unauthorised Access Alerts | Account Lockout Events | Account Content Knowledge,Account settings have changed without your input | You receive password reset notifications you didn't request | The other person logs into your accounts or references private account content
SAFE-T-0083,Account Takeover,4,3,3,3,OK,Account Documentation | Recovery Contact Security | Platform Recovery Engagement,Contact the platform's account recovery support immediately | Notify your contacts | Document everything | Report to the platform and to police,Complete Account Lockout | Unauthorised Profile Changes | Recovery Option Modification,You're suddenly locked out of an account | Friends receive messages from your account that you didn't send | Your account profile or information has been changed
SAFE-T-0084,Password/Recovery Change,3,3,3,2,OK,Multiple Recovery Methods | Security Question Hardening | Recovery Email Security,Set up recovery options the other person can't access | Enable login notifications | Regularly check your account recovery settings,Unrequested Password Change Notifications | Recovery Method Change Alerts,You can't recover your account using your usual method | You receive notifications about recovery option changes you didn't make | Security questions or backup codes have been modified
SAFE-T-0085,Session Hijacking,3,2,3,2,OK,Active Session Monitoring | Session Termination,Sign out of all sessions on important accounts | Never save passwords on shared or public devices | Check your active sessions regularly,Unknown Active Sessions | Unauthorised Account Activity,Your account shows active sessions on devices you don't recognise | Someone is reading new messages in real-time | Account activity at times when you weren't online
SAFE-T-0086,Device Lockout,3,2,3,2,OK,Remote Management Removal | Account Migration,Contact your device manufacturer's support | Use a different device to secure your cloud accounts | Keep your cloud account credentials separate and private,Remote Lock Activation | Remote Wipe Execution,Your device passcode suddenly stops working | Your device has been remotely wiped or reset | You receive a message saying your device is locked
SAFE-T-0087,Two-Factor Interception,3,3,3,2,OK,Authenticator App Security | SIM Security Controls | Hardware Security Key,Switch to an authenticator app instead of SMS codes | Set a PIN or password on your mobile account | Use a phone number the other person doesn't know,SIM Swap Indicators | Unrequested 2FA Codes,You stop receiving text messages or calls | Login codes arrive on a device you don't control | Your mobile service suddenly stops working
SAFE-T-0088,Backup/Cloud Access,3,2,3,2,OK,Cloud Account Security | Backup Encryption,Review which devices are connected to your cloud accounts | Change your cloud account password from a safe device | Remove unknown devices and revoke their access,Cloud Access Alerts | Cloud Content Knowledge,The other person has seen photos or documents you only stored in the cloud | Storage notifications about activity you didn't do | Unfamiliar devices connected to your cloud account
SAFE-T-0089,Shared Account Weaponization,3,2,3,2,OK,Shared Account Separation | Shared Account Documentation,Back up any important shared content to your own account | Create your own individual accounts for essential services | Document what exists in shared accounts,Shared Service Disruption | Weaponized Account Activity,Shared content starts disappearing | You lose access to subscriptions or services | Shared account content is used to embarrass or control you
SAFE-T-0090,Device Sabotage,3,2,3,2,OK,Data Backup Protocol | Physical Device Security,Keep your device physically secure | Back up your data regularly to a secure location | Document the pattern,Unexplained Data Loss | Device Damage or Reset,Your devices keep malfunctioning in ways you can't explain | Problems only happen after the other person has had access | Factory resets or data wipes you didn't authorise
SAFE-T-0091,Administrative Access Abuse,3,2,3,2,OK,Administrative Control Removal | Family Group Exit,Identify who has admin access to your devices and accounts | Get your own separate devices and accounts | Remove mobile device management (MDM) profiles,Unexpected Device Restrictions | Usage Reports to Adversary,Your permissions keep getting changed | Content or downloads are being blocked | The other person can see or change things on your device remotely
SAFE-T-0092,Direct Threat Messaging,4,3,3,2,OK,Evidence Preservation | Platform and Law Enforcement Reporting | Communication Boundary Enforcement,Screenshot and save every threatening message | Don't respond to threats | Report to both the platform and police | Consider an Apprehended Violence Order (AVO),Threatening Content Receipt | Escalation Pattern,You receive messages that threaten violence or harm | Threatening images or media are sent to you | Threats are disguised as concern or 'warnings'
SAFE-T-0093,Persistent Unwanted Contact,4,3,3,2,OK,Contact Documentation | Block and Filter Strategy | Carrier Harassment Report,Block across all platforms but save evidence first | Enable 'Do Not Disturb' or silence unknown callers | Document the pattern | Report to police,High Volume Contact | Multi-Platform Contact Pattern,"Overwhelming volume of messages, calls, or notifications | Contact continues despite you asking them to stop | The content cycles between hostile, loving, and desperate"
SAFE-T-0094,Contact After Blocking,3,2,3,2,OK,Multi-Platform Block Maintenance | Ban Evasion Reporting,Keep blocking new accounts but document each one | Adjust privacy settings so only approved contacts can message you | Report the pattern to police,New Accounts with Adversary Indicators | Alternative Channel Contact,New unknown accounts contact you with familiar language | Messages arrive from unknown numbers saying things only the person would know | Contact comes through unexpected platforms
SAFE-T-0095,Coordinated Harassment Campaign,4,3,3,2,OK,Mass Block and Report | Temporary Account Restriction | Regulatory Body Report,Don't engage with individual attackers | Report the coordination to platforms | Lock down your online presence temporarily | Preserve evidence of coordination,Hostile Interaction Spike | Coordination Indicators,Sudden wave of hostile messages from people you don't know | Abusive reviews or comments appear across your online presence | The abuse follows a recognisable pattern or narrative
SAFE-T-0096,Doxxing,4,3,3,2,OK,Personal Information Minimisation | Address and Contact Protection | Doxxing Response Protocol,"Report to the platform where your information was published | Contact the eSafety Commissioner | Alert your workplace, school, and building security | Report to police",Personal Information Published | Stranger Harassment Based on Published Details,Strangers reference your personal details | You find your personal information posted on public websites or forums | You receive unwanted contact at locations only known through doxxing
SAFE-T-0097,Swatting,3,2,2,2,OK,Law Enforcement Notification | Emergency Response Preparation,Proactively brief your local police station | Report false calls as a criminal offence | Keep documentation of all false reports,Unexpected Emergency Response | False Report Pattern,Emergency services arrive at your home without you calling them | You learn that false reports have been filed about you
SAFE-T-0098,Platform Abuse Reporting,3,2,3,2,OK,Content Backup | Appeal Process Utilisation,Appeal every false takedown | Document the pattern of false reports | Contact platform support directly,Unjustified Account Restrictions | Multiple Report Indicators,Your content or accounts are removed for violations you didn't commit | You receive repeated warnings from platforms | Your business or professional presence is affected
SAFE-T-0099,Public Humiliation Posts,4,2,3,2,MIT_COUNT_IMBALANCE,Content Removal Request | Search Result Management,Report content to the platform for removal | Contact the eSafety Commissioner if content includes intimate images | Avoid responding publicly | Save evidence before it's deleted,Harmful Content Discovery | Third-Party Content Alerts,People you know reference embarrassing content about you online | Humiliating content appears on the other person's or their friends' social media | Your private information or images are shared in group chats or forums
SAFE-T-0100,Impersonation Harassment,4,2,3,2,MIT_COUNT_IMBALANCE,Impersonation Reporting | Network Notification,Report impersonation accounts to the platform immediately | Notify your contacts | Document the fake accounts | Report to police,Contact Reports of Impersonation Messages | Fake Account Discovery,People tell you about accounts or messages 'from you' that you didn't create or send | Fake profiles using your photos and name appear on social media or dating sites | You're blamed for things the impersonator said or did
SAFE-T-0101,Review/Rating Attacks,3,2,3,2,OK,False Review Dispute | Review Response Strategy,Report fake reviews to the platform | Respond professionally to reviews you can't get removed | Document the connection between reviews and the other person,Fraudulent Review Pattern | Professional Impact,A sudden cluster of negative reviews from accounts with no history | Reviews contain personal attacks rather than genuine customer feedback | The timing correlates with conflict with the other person
SAFE-T-0102,Contact Bombing,3,2,2,2,OK,Email Filtering | Communication Channel Protection,Use email filtering rules to manage the flood | Report the pattern to your phone carrier | Consider a new phone number or email for important contacts,Spam Volume Spike | Unrequested Sign-Up Confirmations,"Sudden flood of verification codes, newsletters, or spam | The volume makes it hard to find real, important messages"
SAFE-T-0103,Proxy Harassment via AI,3,2,3,2,OK,AI Content Detection | Platform-Level Reporting,Report AI-generated harassment to platforms | Preserve the content as evidence | Report to the eSafety Commissioner,Synthetic Language Patterns | AI-Generated Media Indicators,Harassing content that seems AI-generated or mass-produced | Fake images or audio that look or sound like you | Abusive content that's unusually varied or persistent
SAFE-T-0104,Message/Evidence Tampering,3,3,3,2,OK,Original Record Preservation | Metadata Verification | Witness Communication,Keep your own copies of important conversations | Use platforms with edit history or deletion tracking | Don't rely solely on digital records the other person can access,Evidence Discrepancies | Message Alteration,Conversations look different from how you remember them | The other person shows 'evidence' of things you didn't say | Messages in shared conversations have been selectively deleted
SAFE-T-0105,Digital Gaslighting,3,3,3,2,OK,Digital State Documentation | External Verification | Version History Monitoring,Start keeping a private journal of digital interactions | Screenshot important conversations immediately | Trust your own experience,Unexplained Setting Changes | Reality Questioning Pattern,Things you remember seeing or reading online seem to have disappeared | The other person insists events didn't happen the way you remember | Your device settings keep changing and you're told you must have done it yourself
SAFE-T-0106,Non-Consensual Intimate Image Distribution,4,3,3,2,OK,Regulatory Body Report | Hash-Based Prevention Registration | Law Enforcement Report,Report to the eSafety Commissioner immediately | Report to police | Don't try to get the images removed yourself by contacting each site | Seek support,Intimate Image Distribution Discovery | Distribution Threats,"Someone tells you they've seen intimate images of you online | The other person threatens to share images unless you comply with demands | Intimate images appear on websites, social media, or in group chats"
SAFE-T-0107,Deepfake Creation,3,2,2,2,OK,Synthetic Content Reporting | Source Image Restriction,Report to the eSafety Commissioner | Report to police | Preserve evidence of the fake content and any threats,Synthetic Content Discovery | Fabricated Content Threats,Realistic images or videos of you that you know are fake surface online | The other person threatens to create or share deepfake content
SAFE-T-0108,False Narrative Campaigns,4,2,3,2,MIT_COUNT_IMBALANCE,Counter-Narrative Development | False Claim Documentation,Document all instances of the false narrative | Report defamatory content to platforms | Consider legal advice about defamation | Don't engage in public arguments about the false claims,Unexplained Relationship Changes | False Information Reports,People start treating you differently based on things they've read | You discover false posts or articles about you online | The false narrative is consistent and coordinated
SAFE-T-0109,Context Manipulation,3,2,2,2,OK,Full Context Preservation | Written Communication Preference,Keep complete records of important conversations | Calmly provide the full context when confronted | Be aware of what you put in writing,Decontextualised Content Sharing | Partial Truth Accusations,People confront you about things you 'said' that feel wrong | Screenshots of your messages are circulating without the surrounding conversation
SAFE-T-0110,Sextortion,4,2,2,2,MIT_COUNT_IMBALANCE,Non-Compliance | Specialist Support Engagement,Don't pay or send more content | Report to police immediately | Report to the eSafety Commissioner | Block the person but save all evidence first,Extortion Demands | Demand Escalation,Someone threatens to share intimate content unless you comply | Escalating demands after initial compliance
SAFE-T-0111,Catfishing/Romance Fraud,4,2,3,2,MIT_COUNT_IMBALANCE,Identity Verification | Financial Boundary Enforcement,Reverse image search their photos | Never send money to someone you haven't met in person | Report to the platform and to Scamwatch | Contact your bank if you've sent money,Verification Avoidance | Financial Request Escalation,"The person always has excuses for not meeting in person or video calling | The relationship moves unusually fast emotionally | Requests for money, gift cards, or financial help"
SAFE-T-0112,Reputation Destruction SEO,4,3,2,2,OK,Search Result Monitoring | Positive Content Creation | Legal Content Removal,Document all harmful search results | Request removal from Google | Consider professional reputation management | Report defamatory content to hosting platforms,Harmful Search Results | Malicious Domain Registrations,Searching your name returns harmful content you didn't create | New websites or pages about you appear that you didn't make
SAFE-T-0113,Historical Content Weaponization,3,2,2,2,OK,Historical Content Cleanup | Context Preparation,Review and clean up old social media posts | Check what's visible on web archives | Adjust privacy settings on past content,Old Content Resurfacing | Content Archiving Activity,Old posts or content you'd forgotten about resurface | The other person references content from deep in your history
SAFE-T-0114,Fake Evidence Creation,4,2,2,2,MIT_COUNT_IMBALANCE,Digital Forensic Engagement | Platform Record Requests,Keep your own independent records of all important interactions | Tell your lawyer about suspected fake evidence immediately | Don't accuse the other person of fabrication without evidence | Preserve originals of all communications,Evidence Inconsistent with Records | Metadata Inconsistencies,"Evidence presented against you doesn't match your records | The timing, formatting, or details of 'evidence' seem off"
SAFE-T-0115,Communication Interception & Response,3,2,3,2,OK,Secure Communication Channel | Message Verification,"Tell trusted people about the interception | Use a separate, secure communication channel | Check your accounts for unauthorised access",Unauthorised Message Sending | Unexplained Relationship Deterioration,Friends or family mention conversations you don't remember having | Support services or lawyers say you declined help or cancelled appointments | Relationships deteriorate for reasons you can't understand
SAFE-T-0116,Contact Blocking/Filtering,3,2,3,2,OK,Contact and Filter Audit | Alternative Contact Methods,Regularly check your blocked contacts and email filters | Ask trusted people to test whether their messages reach you | Use a secondary contact method for critical relationships,Missing Inbound Communications | Unauthorised Blocked Contacts,People say they tried to contact you but you never received the messages | You feel increasingly isolated without understanding why | Blocked contact lists on your phone contain numbers you didn't block
SAFE-T-0117,Social Media Control,3,2,3,2,OK,Autonomy Assertion | Private Secondary Account,Recognise that controlling your social media is controlling behaviour | Create a private account the other person doesn't know about | Talk to someone you trust about what's happening,Connection Control Demands | Connection Monitoring,You feel you can't post freely because the other person will react | The other person dictates who you can follow or be friends with online | Your social media settings have been changed without your input
SAFE-T-0118,Device Time/Access Restrictions,3,2,3,2,OK,Parental Control Removal | Secondary Device Access,Identify a safe communication method the other person can't control | Remove parental control profiles from your devices | Talk to a support service,External Device Restrictions | Resource Access Blocking,The other person takes your phone or controls when you can use it | Parental control software is installed on your devices (when you're an adult) | Internet access is turned off as punishment or control
SAFE-T-0119,Network Poisoning,3,2,3,2,OK,Support Network Communication | Professional Support Briefing,Talk directly to the people who matter | Keep records of what the other person tells people | Don't try to counter every lie,Contact Attitude Changes | Adversary Contact Reports,"People in your life are distancing themselves based on false information | The other person contacts your friends, family, or workplace | Your reputation within your community shifts without explanation"
SAFE-T-0120,Platform Banning Coordination,3,2,2,2,OK,Ban Appeal with Context | Support Network Diversification,Appeal every suspension | Document the pattern across platforms | Contact platform trust and safety teams directly,Unexplained Community Removal | Coordinated Reporting Evidence,Your accounts are suspended for violations you didn't commit | Multiple platform bans happen in a short period
SAFE-T-0121,Communication Monitoring Disclosure,3,2,3,2,OK,Monitoring Assumption Planning | Monitoring Capability Verification,Understand that total monitoring is very difficult | Find one safe way to communicate | Contact 1800RESPECT from a safe phone,Explicit Monitoring Claims | Self-Censorship Behaviour,The other person explicitly tells you they can see everything | You self-censor everything because you assume you're watched | The other person demonstrates knowledge that seems to prove monitoring
SAFE-T-0122,Support Resource Blocking,3,2,3,2,OK,Alternative Resource Access | Network Blocking Bypass,"Memorise key numbers: 1800RESPECT (1800 737 732), 000 for emergencies | Access support from a different device or location | Ask someone you trust to make the call for you",Support Website Inaccessibility | Support Contact Removal,Helpline numbers or support websites don't work from your devices | The other person discourages you from seeking help | Contact details for services have been deleted from your phone
SAFE-T-0123,Identity Document Control,3,2,3,2,OK,Document Duplication | Government Portal Security,Contact Services Australia to regain access to myGov | Visit a government service centre in person with photo ID | Set up a PO Box or redirect mail to a safe address,Document Access Denial | Document Relocation,"You can't access your myGov, tax, Medicare, or other government accounts | The other person holds all the important account credentials | Your mail is being redirected or intercepted"
SAFE-T-0124,Email/Communication Rerouting,3,2,3,2,OK,Forwarding Rule Audit | Call Forwarding Check,Check email forwarding and filter rules immediately | Check app-specific forwarding | Change email passwords and review all connected apps,Missing Expected Communications | Forwarding Discovery,You're not receiving messages or emails you're expecting | Email forwarding or filtering rules you didn't create | The other person knows about emails or messages you received
SAFE-T-0125,Financial Account Lockout,3,3,3,2,OK,Financial Account Security Reset | Financial Counselling | Emergency Financial Access,"Contact your bank directly, in person or by phone | Open an account in your name only | Ask about the bank's DFV support services",Financial Account Lockout | Authorised User Removal,You can't access online banking or financial accounts | Cards are cancelled or frozen without your knowledge | The other person controls all financial account access
SAFE-T-0126,Transaction Monitoring,3,2,3,2,OK,Separate Transaction Account | Untraceable Payment Methods,Open a separate account for independent spending | Check notification settings on banking apps | Use cash for sensitive purchases when safe to do so,Transaction Knowledge | Unauthorised Alert Configuration,The other person questions purchases they shouldn't know about | You feel unable to make any purchase without scrutiny | Transaction notifications are going to the other person's device
SAFE-T-0127,Spending Restrictions,3,2,3,2,OK,Independent Financial Access | Legal Financial Advice,Contact your bank about your rights to your own accounts | Build independent financial access gradually | Seek financial counselling,Unexplained Transaction Declines | Spending Approval Requirements,Your card is declined for purchases you should be able to make | You need to request or justify every purchase | Restrictions change based on the other person's mood or as punishment
SAFE-T-0128,Unauthorized Transactions,3,2,3,2,OK,Transaction Alert Configuration | Fraud Reporting,Report unauthorised transactions to your bank immediately | Change your banking passwords and PINs | Request new cards with new numbers,Unrecognised Transactions | Balance Discrepancies,Unexplained transactions on your accounts | Your account balance is lower than expected | Subscriptions or payments set up without your consent
SAFE-T-0129,Coerced Transactions,3,2,2,2,OK,Coerced Debt Legal Advice | Coercion Documentation,Seek legal advice about coerced transactions | Contact your bank and explain the coercion | Keep evidence of the pressure or threats,Financial Coercion | Duress Debt Accumulation,You've been pressured into signing documents or making transfers | Debts or loans in your name that primarily benefit the other person
SAFE-T-0130,Crypto/Investment Fraud,3,2,3,2,OK,Investment Verification | Fraud Reporting,Stop investing immediately if you suspect fraud | Report to Scamwatch at scamwatch.gov.au | Contact your bank about recovering funds,Pressure to Invest in Unverified Platforms | Withdrawal Inability,"Investment 'returns' exist only on screen, not as withdrawable money | Pressure to invest more, especially after initial 'gains' | The other person is unusually knowledgeable about your investment decisions"
SAFE-T-0131,Benefits/Payments Interception,3,2,2,2,OK,Payment Destination Security | Mail Redirection Check,Contact Services Australia directly | Request payments go to an account only you control | Ask about a social worker at Centrelink,Missing Expected Payments | Payment Detail Changes,Centrelink or other payments aren't arriving in your account | The other person controls your myGov or Centrelink access
SAFE-T-0132,Credit/Identity Theft,4,3,3,2,OK,Credit Monitoring | Credit Ban | Identity Theft Report,Check your credit report | Report identity theft to IDCARE (1800 595 160) | Place a ban on your credit file | Report to police,Unknown Credit Activity | Unknown Service Bills,Bills or statements arrive for accounts you didn't open | Your credit score has dropped unexpectedly | Debt collectors contact you about debts you don't recognise
SAFE-T-0133,Smart Home Resource Control,3,2,3,2,OK,Smart Home Account Control | Manual Override Capability,Identify who controls the smart home accounts | Factory reset smart home devices | Contact your utility providers to separate accounts,Remote Utility Control | Manipulation-Reflective Utility Bills,"Temperature, lighting, or appliances change without your input | Smart locks change codes or lock you in/out | The other person controls these devices remotely after separation"
SAFE-T-0134,Employment Sabotage,3,2,3,2,OK,Employer Notification | Professional Account Security,Tell your employer what's happening | Secure your work accounts independently | Document the sabotage,Workplace Interference | Application Interference,Your employer receives messages or information about you from the other person | Work accounts are interfered with | Your professional reputation is being damaged online
SAFE-T-0135,Subscription/Service Cancellation,3,2,3,2,OK,Individual Account Registration | Service Provider DFV Support,Contact service providers to secure your accounts | Set up essential services in your own name with your own credentials | Document cancelled services and the impact,Essential Service Cancellation | Unauthorised Service Changes,Services stop working unexpectedly | You receive cancellation confirmations you didn't request | The other person has account access to services in your name
SAFE-T-0136,Location-Based Assault,3,3,2,2,OK,Comprehensive Location Security | Safety Planning | Law Enforcement Report,Review all tracking and location sharing immediately | Create a safety plan with a support service | Report to police,Location Interception | Location-Referencing Threats,The other person shows up at places you haven't told them about | Confrontations happen at locations you only visited once
SAFE-T-0137,Safe Location Disclosure,3,2,2,2,OK,Safe Location Digital Hygiene | Secure Communication from Safe Location,Contact your support service or refuge immediately | Contact police if there's an immediate safety threat | Review how the location may have been discovered,Safe Location Discovery | Photo Metadata Exposure,The other person references or appears near your safe location | You receive communications indicating your address is known
SAFE-T-0138,Movement Interception,3,2,2,2,OK,Route Variation | Appointment Security,Vary your routes and times | Check your vehicle for GPS trackers | Report to police,Route Interception | Travel Knowledge Indicators,The other person appears on your commute or regular routes | Your travel patterns seem to be predicted
SAFE-T-0139,Smart Lock Manipulation,3,2,3,2,OK,Smart Lock Security Reset | Lock Replacement Post-Separation,Factory reset smart locks and set up new codes | Consider replacing smart locks with traditional deadbolts | Contact a locksmith who understands smart home security,Lock Behaviour Anomalies | Physical Access Control,Smart lock codes stop working or change without your input | The other person lets themselves in after you've changed physical locks | Lock activity logs show access at times the other person shouldn't be entering
SAFE-T-0140,Vehicle Sabotage,3,2,2,2,OK,Connected Car Account Security | Vehicle Safety Inspection,Contact the vehicle manufacturer about removing the other person's app access | Have the vehicle inspected by a mechanic | Change the connected car account passwords,Remote Vehicle Control | Connected Car Access Alerts,Vehicle features stop working or behave strangely | The other person uses a connected car app to track or control your vehicle
SAFE-T-0141,IoT Device Weaponization,3,2,3,2,OK,IoT Device Audit and Reset | Network Security,Unplug or disconnect concerning devices | Change your Wi-Fi password | Factory reset and reconfigure only essential devices,Unexplained Device Activation | Environmental Manipulation,Devices activate at disturbing times | Heating or cooling goes to extremes | Security cameras or systems are disabled
SAFE-T-0142,Medical Device Interference,3,2,2,2,OK,Medical Device Security Review | Health Record Access Control,Contact your healthcare provider immediately | Secure access to medical device apps and accounts | Report to police,Medical Device Setting Changes | Health Data Access Indicators,Medical device settings have been changed | Medication reminders or health apps have been altered
SAFE-T-0143,Stalking Coordination,3,2,3,2,OK,Anti-Stalking Strategy | Stalking Evidence Documentation,Contact police and report the full pattern | Work with a specialist service to do a full technology safety audit | Create a comprehensive safety plan,Repeated Unexplained Appearances | Coordinated Surveillance Evidence,The other person knows your movements with impossible precision | You feel watched from multiple directions | Others seem to be involved in tracking you
SAFE-T-0144,Emergency Service Manipulation,3,2,2,2,OK,Law Enforcement False Report Briefing | False Report Legal Response,Proactively brief local police about the false reporting risk | Report false emergency calls as criminal offences | Keep a chronological record of all false reports,Unrequested Authority Visits | False Report Pattern,Authorities arrive based on reports you didn't make | A pattern of false reports emerges
SAFE-T-0145,Child Custody Tech Abuse,3,3,3,3,OK,Co-Parenting App Boundaries | Children's Device Security | Legal Tech Abuse Documentation,Use court-approved co-parenting apps | Check children's devices for monitoring software | Document all technology misuse for family court,Excessive Location Monitoring | Co-Parenting App Misuse | Children's Device Surveillance,The other person tracks children's locations excessively | Co-parenting apps are used for hostile messages instead of co-parenting | Children's devices have monitoring software that enables household surveillance
